ramp,hold_s,T_onset_C,delta_H_kJmol
1,0.1002,103.4133,1.0000
2,0.4998,103.3819,99.8660
3,0.7980,103.3666,156.5118
4,1.0002,103.3612,244.1565
5,4.9980,103.3685,350.1656
6,10.0200,103.3317,407.6900
7,49.9800,103.3348,451.0437
8,100.0200,103.3239,490.0257
9,499.9800,103.3351,548.4295
10,1000.0200,103.3248,590.3699
11,0.1002,103.3309,606.4151
12,0.4998,103.3006,632.0741
13,0.7980,103.3188,653.0482
14,1.0002,103.3128,682.2370
15,4.9980,103.2964,721.9865
16,10.0200,103.2849,782.8469
17,49.9800,103.2813,786.8262
18,100.0200,103.2288,803.0466
19,499.9800,103.2623,881.7951
20,1000.0200,103.3046,1208.2082
