run,logA,A_s,H_star_kJmol,x,beta,T0_K,scale,RMSE_kJmol,plateau_kJmol
run1,-25.000000,0.000000,246.293985,0.005000,0.267833,429.928511,76.354087,130.029154,6625.893923
run2,-25.000000,0.000000,279.843858,0.118783,0.022459,370.045061,133.246381,43.520970,3583.669574
