stage,log10_A,A_s,H_star_kJmol,x,beta,T0_K,T0_C,R2_os50,R2_os70,R2_tsA,R2_tsB,R2_kvA,R2_kvB
Stage1_Shape,-26.911061,0.000000,180.972376,0.235392,0.900000,379.759910,106.609910,0.754501,0.958595,0.596065,0.540821,0.213431,0.119496
Stage2_Absolute,-25.000000,0.000000,180.972376,0.050000,0.700000,379.759907,106.609907,0.669135,0.776023,0.840133,0.704013,0.819834,0.751364
