label,mean_diff,rms_diff,max_abs_diff,std_diff,pre_tg_mean,tg_mean,post_tg_mean,n_valid
Pair 1,-1.0252224778827537,1.0372748183397311,1.2655794426056328,0.157663945167147,-0.8088415324529009,-1.0867284622244435,-1.1124983893952347,1601
Pair 2,-1.0090116029696694,1.021131666265357,1.2213349860862404,0.15686129198257479,-0.7957676865125641,-1.0519367305955434,-1.1060614587554811,1601
Mean,-1.0171170404262115,1.0291776625307507,1.2433736590387467,0.1570973810312708,-0.8023046094827325,-1.0693325964099936,-1.1092799240753581,1601
