experiment,method,logA,A_s,H_star_kJmol,x,beta,T0_K,T0_C,scale_Jg,cost,rmse,r2_50s,r2_500s,time_s
kovacs,ga,-31.477740830443494,3.3285813044039785e-32,235.80803108657568,0.95,0.7,383.62930436052585,110.47930436052587,6.267159388680851,1.7633471389088173,0.29692988557139355,0.9524325535695602,0.9850861426829829,396.01221203804016
kovacs,de,-31.47772916867799,3.32867068535958e-32,235.80801069439372,0.95,0.7,383.62856446185543,110.47856446185546,6.267189995188063,1.7633471374456582,0.29692988544820015,0.9524320995412721,0.9850873615972557,1505.1351330280304
kovacs,bfgs,-31.544387844610245,2.8550397249729475e-32,237.50956489412414,0.8939702243355998,0.7,394.83777096810803,121.68777096810805,6.514583106780533,1.770153631296023,0.29750240598153344,0.9519248823674282,0.9858984881100761,198.35023760795593
twosteps,ga,-28.015843235782988,9.641769929891146e-29,218.47089965352768,0.8634837392334791,0.99,419.3824790714737,146.23247907147373,10.0,0.9687732874152811,0.2200878560274602,0.8172582240899438,0.7827991725143161,370.1420657634735
twosteps,de,-23.58908200341727,2.575834742361805e-24,183.07571751267338,0.99,0.99,459.9999998835092,186.8499998835092,6.5109125287062435,0.9530084657943587,0.21828976909080722,0.8199514969581505,0.7884916975343577,1668.9970893859863
twosteps,bfgs,-23.576286908408218,2.6528524263369588e-24,182.98811842623033,0.99,0.99,460.0,186.85000000000002,6.512370951677877,0.9530101526618151,0.2182899622820315,0.8199952172672063,0.7881524846531879,156.15534043312073
