ramp,experiment,T_anneal_C,cooling_rate_to_glass_K_per_min,heating_rate_K_per_min,hold_s,cooling_group,T_onset_C,delta_H_kJ_per_mol
1,One-step 50C,50,60.0000,10.0000,0.1002,50s,103.4133,0.0000
2,One-step 50C,50,60.0000,10.0000,0.4998,50s,103.3819,98.8660
3,One-step 50C,50,60.0000,10.0000,0.7980,50s,103.3666,155.5118
4,One-step 50C,50,60.0000,10.0000,1.0002,50s,103.3612,243.1565
5,One-step 50C,50,60.0000,10.0000,4.9980,50s,103.3685,349.1656
6,One-step 50C,50,60.0000,10.0000,10.0200,50s,103.3317,406.6900
7,One-step 50C,50,60.0000,10.0000,49.9800,50s,103.3348,450.0437
8,One-step 50C,50,60.0000,10.0000,100.0200,50s,103.3239,489.0257
9,One-step 50C,50,60.0000,10.0000,499.9800,50s,103.3351,547.4295
10,One-step 50C,50,60.0000,10.0000,1000.0200,50s,103.3248,589.3699
11,One-step 50C,50,60.0000,10.0000,0.1002,500s,103.3309,605.4151
12,One-step 50C,50,60.0000,10.0000,0.4998,500s,103.3006,631.0741
13,One-step 50C,50,60.0000,10.0000,0.7980,500s,103.3188,652.0482
14,One-step 50C,50,60.0000,10.0000,1.0002,500s,103.3128,681.2370
15,One-step 50C,50,60.0000,10.0000,4.9980,500s,103.2964,720.9865
16,One-step 50C,50,60.0000,10.0000,10.0200,500s,103.2849,781.8469
17,One-step 50C,50,60.0000,10.0000,49.9800,500s,103.2813,785.8262
18,One-step 50C,50,60.0000,10.0000,100.0200,500s,103.2288,802.0466
19,One-step 50C,50,60.0000,10.0000,499.9800,500s,103.2623,880.7951
20,One-step 50C,50,60.0000,10.0000,1000.0200,500s,103.3046,1207.2082
