Time/min,Temp/Cel,DSC/uW,DDSC/(uW/min)
0,198.615921020508,1.35906314849854,-21.3106727600098
0.016666666666666666,198.627517700195,-0.943386077880859,-99.1111297607422
0.03333333333333333,198.638458251953,-0.329930305480957,-340.477661132813
0.05,198.647125244141,3.10364866256714,-836.477966308594
0.06666666666666667,198.65087890625,15.042031288147,-1695.06884765625
0.08333333333333333,198.647430419922,45.9197998046875,-2914.55126953125
0.1,198.6328125,101.223453521729,-4466.8125
0.11666666666666667,198.602264404297,188.196422576904,-6256.51220703125
0.13333333333333333,198.551254272461,307.134227752686,-8151.2333984375
0.15,198.475173950195,459.805828094482,-10049.2978515625
0.16666666666666666,198.369995117188,645.010875701904,-11869.93359375
0.18333333333333332,198.232223510742,860.854320526123,-13561.060546875
0.2,198.058975219727,1102.52759933472,-15058.5947265625
0.21666666666666667,197.847869873047,1368.98536300659,-16351.7353515625
0.23333333333333334,197.597396850586,1654.40967941284,-17429.54296875
0.25,197.307952880859,1956.48707199097,-18285.40234375
0.26666666666666666,196.977355957031,2270.20118331909,-18917.2734375
0.2833333333333333,196.605499267578,2593.41260910034,-19355.74609375
0.3,196.192413330078,2920.74293136597,-19603.630859375
0.31666666666666665,195.738662719727,3251.71339035034,-19674.6875
0.3333333333333333,195.245025634766,3581.33668136597,-19588.12109375
0.35,194.712432861328,3908.24244308472,-19377.92578125
0.36666666666666664,194.142059326172,4230.44776535034,-19052.865234375
0.38333333333333336,193.535202026367,4546.18604660034,-18610.412109375
0.4,192.893280029297,4854.22510910034,-18088.8515625
0.4166666666666667,192.217727661133,5151.75294113159,-17493.333984375
0.43333333333333335,191.510070800781,5438.32423019409,-16834.48828125
0.45,190.771957397461,5713.62452316284,-16121.68359375
0.4666666666666667,190.004776000977,5976.96973800659,-15393.01171875
0.48333333333333334,189.208541870117,6227.52100753784,-14635.2890625
0.5,188.383178710938,6464.98487472534,-13881.41015625
0.5166666666666667,187.533569335938,6689.80860519409,-13113.31640625
0.5333333333333333,186.6611328125,6901.88184738159,-12345.486328125
0.55,185.767486572266,7101.60645675659,-11589.416015625
0.5666666666666667,184.85725402832,7287.64307785034,-10823.6484375
0.5833333333333334,183.931060791016,7462.42774581909,-10063.552734375
0.6,182.987564086914,7623.57667160034,-9333.92578125
0.6166666666666667,182.028213500977,7772.12647628784,-8618.115234375
0.6333333333333333,181.052703857422,7909.92335128784,-7922.443359375
0.65,180.059219360352,8036.03760910034,-7265.37890625
0.6666666666666666,179.053268432617,8151.23926925659,-6619.822265625
0.6833333333333333,178.036026000977,8256.13526535034,-5982.59765625
0.7,177.009613037109,8350.77100753784,-5390.6953125
0.7166666666666667,175.978790283203,8435.35596847534,-4849.640625
0.7333333333333333,174.939270019531,8509.59815597534,-4354.21875
0.75,173.892028808594,8577.67335128784,-3901.453125
0.7666666666666667,172.837844848633,8639.09327316284,-3491.96484375
0.7833333333333333,171.77751159668,8694.12452316284,-3092.6015625
0.8,170.711608886719,8742.22706222534,-2678.33203125
0.8166666666666667,169.640930175781,8783.64405441284,-2266.1015625
0.8333333333333334,168.565826416016,8817.70753097534,-1862.765625
0.85,167.486785888672,8845.47510910034,-1493.5078125
0.8666666666666667,166.404388427734,8866.35010910034,-1143.12890625
0.8833333333333333,165.318984985352,8881.80323410034,-818.6484375
0.9,164.230804443359,8893.66944503784,-541.6171875
0.9166666666666666,163.140335083008,8899.61964035034,-274.3359375
0.9333333333333333,162.047790527344,8900.81007003784,-11.765625
0.95,160.953521728516,8899.81592941284,216.87890625
0.9666666666666667,159.857833862305,8893.58741378784,434.578125
0.9833333333333333,158.761047363281,8884.25147628784,646.265625
1,157.663436889648,8872.14112472534,832.58203125
1.0166666666666666,156.567153930664,8856.43799972534,1007.49609375
1.0333333333333334,155.475524902344,8837.76417160034,1183.0078125
1.05,154.384002685547,8817.00342941284,1331.390625
1.0666666666666667,153.292755126953,8793.09132003784,1479.12890625
1.0833333333333333,152.202117919922,8767.10499191284,1610.68359375
1.1,151.112274169922,8739.26026535034,1732.4296875
1.1166666666666667,150.023376464844,8709.08448410034,1850.35546875
1.1333333333333333,148.935729980469,8677.52784347534,1960.41796875
1.15,147.849639892578,8643.63819503784,2060.82421875
1.1666666666666667,146.765274047852,8608.84229660034,2152.0546875
1.1833333333333333,145.682846069336,8571.86768722534,2240.84765625
1.2,144.603210449219,8533.82276535034,2311.875
1.2166666666666666,143.531204223633,8494.12745285034,2381.77734375
1.2333333333333334,142.461547851563,8453.88331222534,2440.125
1.25,141.394454956055,8412.99854660034,2500.72265625
1.2666666666666666,140.330261230469,8370.88331222534,2553.92578125
1.2833333333333334,139.269409179688,8327.50733566284,2611.41796875
1.3,138.211456298828,8283.67823410034,2658.076171875
1.3166666666666667,137.156555175781,8238.71241378784,2704.916015625
1.3333333333333333,136.104690551758,8193.33350753784,2743.1953125
1.35,135.056076049805,8147.31397628784,2775.275390625
1.3666666666666667,134.0107421875,8100.64649581909,2801.0390625
1.3833333333333333,132.968841552734,8053.74561691284,2823.9609375
1.4,131.934799194336,8006.39893722534,2846.0625
1.4166666666666667,130.906326293945,7958.79346847534,2866.1953125
1.4333333333333333,129.88151550293,7910.87549972534,2884.08984375
1.45,128.860443115234,7862.67432785034,2901.05859375
1.4666666666666666,127.843139648438,7814.08399581909,2914.611328125
1.4833333333333334,126.829635620117,7765.37354660034,2926.88671875
1.5,125.819976806641,7716.46680831909,2933.953125
1.5166666666666666,124.814155578613,7667.47364425659,2938.0546875
1.5333333333333334,123.812210083008,7618.40040206909,2938.751953125
1.55,122.814262390137,7569.43897628784,2939.865234375
1.5666666666666667,121.820304870605,7520.42090988159,2938.08984375
1.5833333333333333,120.830375671387,7471.51124191284,2937.890625
1.6,119.849594116211,7422.54200363159,2935.201171875
1.6166666666666667,118.873886108398,7373.74708175659,2940.216796875
1.6333333333333333,117.902267456055,7324.64014816284,2967.310546875
1.65,116.934829711914,7275.43458175659,3026.87109375
1.6666666666666667,115.971336364746,7225.96339035034,3114.984375
1.6833333333333333,115.011840820313,7173.08790206909,3220.365234375
1.7,114.056564331055,7118.18067550659,3332.865234375
1.7166666666666666,113.105400085449,7060.81690597534,3437.419921875
1.7333333333333334,112.161613464355,7003.02198410034,3527.666015625
1.75,111.224426269531,6943.89991378784,3632.525390625
1.7666666666666666,110.291275024414,6882.62647628784,3761.05078125
1.7833333333333334,109.362060546875,6819.42286300659,3916.142578125
1.8,108.436828613281,6753.01368331909,4110.943359375
1.8166666666666667,107.515640258789,6683.30762863159,4341.439453125
1.8333333333333333,106.598297119141,6609.08692550659,4569.357421875
1.85,105.684692382813,6531.30225753784,4853.4375
1.8666666666666667,104.773803710938,6449.00782394409,5030.58984375
1.8833333333333333,103.866760253906,6362.39796066284,5221.775390625
1.9,102.963790893555,6272.21387863159,5441.7890625
1.9166666666666667,102.065879821777,6181.63087081909,5781.046875
1.9333333333333333,101.1748046875,6087.13135910034,6288.251953125
1.95,100.297340393066,5982.40137863159,7154.115234375
1.9666666666666666,99.4353790283203,5860.32178878784,8248.453125
1.9833333333333334,98.5929412841797,5713.72901535034,9563.96484375
2,97.7756423950195,5542.78565597534,10957.98046875
2.0166666666666666,96.9892730712891,5346.82423019409,12267.017578125
2.033333333333333,96.2371444702148,5127.58008956909,13424.34375
2.05,95.524772644043,4891.34376144409,14370.75
