ramp,experiment,T1_C,T2_C,T1_hold_s,T2_hold_s,T1_cool_rate_K_per_min,up_jump_rate_K_per_min,cooling_rate_to_glass_K_per_min,heating_rate_K_per_min,T1_group,T_onset_C,delta_H_J_per_g,overshoot_peak_uW
1,Kovacs,80.0000,90.0000,49.9800,0.1002,60.0000,60.0000,60.0000,10.0000,50s,103.5885,0.0000,194.6527
2,Kovacs,80.0000,90.0000,49.9800,0.4998,60.0000,60.0000,60.0000,10.0000,50s,103.5677,0.1536,196.3046
3,Kovacs,80.0000,90.0000,49.9800,0.7980,60.0000,60.0000,60.0000,10.0000,50s,103.5402,0.5897,198.4082
4,Kovacs,80.0000,90.0000,49.9800,1.0002,60.0000,60.0000,60.0000,10.0000,50s,103.5199,0.9561,198.2439
5,Kovacs,80.0000,90.0000,49.9800,4.9980,60.0000,60.0000,60.0000,10.0000,50s,103.4475,1.4324,200.4197
6,Kovacs,80.0000,90.0000,49.9800,10.0200,60.0000,60.0000,60.0000,10.0000,50s,103.4631,1.7438,201.7544
7,Kovacs,80.0000,90.0000,49.9800,49.9800,60.0000,60.0000,60.0000,10.0000,50s,103.2097,2.2046,208.3827
8,Kovacs,80.0000,90.0000,49.9800,100.0200,60.0000,60.0000,60.0000,10.0000,50s,102.8848,3.0871,215.6992
9,Kovacs,80.0000,90.0000,49.9800,499.9800,60.0000,60.0000,60.0000,10.0000,50s,101.8618,5.1256,227.8072
10,Kovacs,80.0000,90.0000,49.9800,1000.0200,60.0000,60.0000,60.0000,10.0000,50s,101.7921,5.3718,218.9357
11,Kovacs,80.0000,90.0000,499.9800,0.1002,60.0000,60.0000,60.0000,10.0000,500s,103.1276,3.0168,218.1509
12,Kovacs,80.0000,90.0000,499.9800,0.4998,60.0000,60.0000,60.0000,10.0000,500s,103.1232,3.1756,219.2442
13,Kovacs,80.0000,90.0000,499.9800,0.7980,60.0000,60.0000,60.0000,10.0000,500s,103.1313,3.2213,219.0029
14,Kovacs,80.0000,90.0000,499.9800,1.0002,60.0000,60.0000,60.0000,10.0000,500s,103.1168,3.1865,219.9153
15,Kovacs,80.0000,90.0000,499.9800,4.9980,60.0000,60.0000,60.0000,10.0000,500s,103.0729,3.3774,220.9825
16,Kovacs,80.0000,90.0000,499.9800,10.0200,60.0000,60.0000,60.0000,10.0000,500s,103.0602,3.4316,221.8707
17,Kovacs,80.0000,90.0000,499.9800,49.9800,60.0000,60.0000,60.0000,10.0000,500s,102.8411,3.8384,224.9411
18,Kovacs,80.0000,90.0000,499.9800,100.0200,60.0000,60.0000,60.0000,10.0000,500s,102.5567,4.3758,228.8820
19,Kovacs,80.0000,90.0000,499.9800,499.9800,60.0000,60.0000,60.0000,10.0000,500s,101.7216,5.9313,234.6397
20,Kovacs,80.0000,90.0000,499.9800,1000.0200,60.0000,60.0000,60.0000,10.0000,500s,101.6548,6.2020,226.6384
