t_s,exp_50s_Jg,exp_500s_Jg,phenom_50s_Jg,phenom_500s_Jg,tnm_50s_Jg,tnm_500s_Jg
0.1,0.0,3.0168,0.2482011908526029,3.173748404479393,0.7412848056250314,3.093453246553615
0.12263306841775631,0.008622921193612037,3.025714843004854,0.26948936676208707,3.1741802638490357,0.7447200552315703,3.0954212847569904
0.150388694695541,0.019291750513601345,3.0367448566507806,0.29286221633549253,3.174709714582147,0.7486799204685575,3.0976899914898417
0.18442627085855343,0.03237526327295747,3.0502713008316773,0.31793667167512857,3.175358720511061,0.7532440294636422,3.100305042466523
0.22616759492228639,0.04841997642658454,3.066859194378526,0.3453458551283057,3.176154262968162,0.7585039353744282,3.1033189666500864
0.27735626141984143,0.0680961004857048,3.087201437220898,0.3748409478179185,3.1771292554831754,0.7645648490643965,3.106792146285176
0.3401304938279251,0.0922255351650883,3.11214775380349,0.4069362446827494,3.1783240959820125,0.7715476057091701,3.1107939533876556
0.4171124612056518,0.12181620130427455,3.1427401872859297,0.4415769815316363,3.1797880390799174,0.7795908911831316,3.1154040382782293
0.5115178099293143,0.17073660935672014,3.177395787772534,0.47909391880392393,3.1815814049230102,0.7888537543281777,3.120713786132358
0.6272899858196247,0.34004662245452155,3.1951382037288965,0.5197025259039403,3.1837777687649553,0.799518431269345,3.1268279578626617
0.7692649574879142,0.5476766866548605,3.2168962728276247,0.5634659769965834,3.1864668003385677,0.8117935061153354,3.1338665309988785
0.9433732216299776,0.853126055416537,3.1962802763960276,0.6109660485835016,3.189758147267113,0.8259174290484032,3.1419667548239723
1.156887528316282,0.9747678347433701,3.1939820274039668,0.6618903467716859,3.1937841634319497,0.84216240649786,3.151285431044625
1.418726674116596,1.005963488639185,3.206485177369768,0.7173069726133979,3.198707779637109,0.8608386680960922,3.16200142634115
1.739828052930364,1.0442196762246065,3.2218181738217035,0.7763906644064057,3.204722116494945,0.8822991004052851,3.1743184156917157
2.133604526501411,1.0911344129202616,3.240621497851098,0.8408443656005966,3.212068461145724,0.9069442156847363,3.1884678441088403
