t_s,dh_50s_Jg,dh_500s_Jg
0.1,0.24820119085260295,3.173748404479393
0.11492187010036997,0.26263149392589025,3.174033146825088
0.13207036227366312,0.2778823244474973,3.174360311946498
0.15177773017322715,0.29399810582614716,3.174736208951052
0.1744258059109661,0.3110253945263697,3.175168081614609
0.20045339809052393,0.3290129485061666,3.175664245690622
0.23036479376536942,0.3480117932179585,3.1762342460204747
0.26473952904802295,0.3680752843437505,3.176889036181662
0.30424361767690017,0.38925916632207347,3.1776411837502785
0.3496424550953135,0.41162162559971005,3.1785051046234427
0.4018156480603806,0.43522333740484154,3.179497330243749
0.4617740571069104,0.46012750468939867,3.180636811987227
0.5306793820656118,0.4863998877266926,3.1819452674112925
0.6098666701068886,0.514108822675249,3.1834475734981047
0.7008701824056901,0.5433252272311249,3.185172212454506
0.8054531205964933,0.5741225912886145,3.187151776017638
0.9256417889712784,0.6065769503134906,3.1894235345312634
1.063764854316313,0.6407668389041952,3.192030077255057
1.2224984640507832,0.6767732217757008,3.1950200303855225
1.404918096835459,0.7146793991494071,3.1984488590208335
1.6145581502618365,0.7545708832724838,3.202379758687328
1.855480420138844,0.796535242524155,3.2068846409284233
2.1323527981697614,0.8406619092980998,3.212045215670407
2.4505397127942574,0.8870419475838469,3.2179541704196915
2.816206065495396,0.9357677759114891,3.224716442569472
3.2364366763473593,0.9869328410801259,3.2324505759185973
3.7193735530726437,1.0406312378696203,3.2412901456177567
4.274373643209657,1.0969572697477208,3.251385226825749
4.912190125853853,1.1560049454424224,3.2629038710568707
5.645180755516966,1.2178674061667714,3.276033540254068
6.487547294786292,1.2826362782767688,3.290982431866079
7.455610674814369,1.3504009462315327,3.3079806086710906
8.568127214899487,1.4212477409301503,3.3272808251091783
9.846652027941236,1.495259038846208,3.3491589182307524
11.315956652786067,1.572512267895851,3.373913607382484
13.004509005128979,1.6530788166885717,3.4018655244811957
14.94502494606524,1.7370228447539429,3.4333552789974533
17.175102154984984,1.8243999925469687,3.4687403521785907
19.737948588157685,1.9152559915454619,3.508390617783666
22.683219636960388,2.0096251766017748,3.552682306117812
26.06798020576923,2.107528904934366,3.60199026852884
29.95781034986427,2.208973888776069,3.6566784637134875
34.42807589518621,2.3139504517654474,3.717088676089297
39.56538865832268,2.422430722698283,3.783527588181886
45.46928455862411,2.5343667842612687,3.8562524581556508
52.25415213602958,2.6496887988490103,3.935455791662573
60.051448839817624,2.768303138500042,4.021249532921534
69.01224802908534,2.8900905513365585,4.113649421068223
79.31016603333059,3.0149044025860077,4.2125602527738515
91.14472598521193,3.142569034196655,4.317762851935355
104.74522360006343,3.2728782930888602,4.4289035667564445
120.37516980200697,3.4055942840179587,4.545487092777673
138.33739627296222,3.5404464086201024,4.666873359715912
158.9799228450477,3.677130757169606,4.7922791243287035
182.70270041765394,3.8153099235370944,4.92078478455246
209.96536004384438,3.954613316385542,5.0513467734676025
241.29611832536096,4.0946380403057185,5.182815704026299
277.30201165910637,4.234950418858741,5.313960213454186
318.68065762459105,4.375088226817788,5.443496195754928
366.23377139033727,4.514563690734926,5.570120809867724
420.88269902088933,4.652867304780777,5.692550313075878
483.6862686437176,4.789472492161893,5.809560405867835
555.8613053440597,4.923841120980828,5.9200274078737865
638.8062072657212,5.055429857015942,6.022968248647407
734.1280397070122,5.1836973046594,6.117576996581821
843.6736721624852,5.308111851580355,6.203255516215404
969.5655615935925,5.428160093383899,6.279635892045997
1114.24287523251,5.543355672874288,6.346592531821548
1280.5087496773324,5.653248326256958,6.404242392055816
1471.5846019280557,5.757432887989664,6.452932551597825
1691.172544644807,5.855557969760668,6.493215354436788
1943.5271149298264,5.947334000370355,6.52581246486706
2233.5377063851233,6.032540295511165,6.55157029875955
2566.8233015746946,6.111030822997677,6.571410256433697
2949.841340341698,6.182738343047917,6.586277821708082
3390.012833314499,6.247676637289805,6.5970947701014735
3895.8661446875603,6.305940595768125,6.604718369454863
4477.20223008213,6.357704008425037,6.609910570581452
5145.284530985853,6.403215004577045,6.613318888533552
5913.057204993993,6.442789196986697,6.615469172682067
6795.3959200837635,6.4768007102149285,6.616769015868388
7809.396072084504,6.50567139797343,6.61751941531788
8974.70400958435,6.529858671476953,6.61793165952255
10313.897683787221,6.549842459726824,6.618146348471305
11852.924098447018,6.566111892771262,6.618251898856763
13621.602035512731,6.5791523311925255,6.618300670388986
15654.199796841294,6.589433352973922,6.618321748892544
17990.09915577833,6.597398250033641,6.6183302256123735
20674.55838273133,6.603455483425534,6.618333379917432
23759.58912842765,6.607972406008731,6.6183344594917575
27304.964154553254,6.611271396574875,6.618334797134492
31379.375436648275,6.613628375915115,6.618334892960592
36061.765077612334,6.61527351077415,6.618334917454793
41442.85481839423,6.616393773115548,6.61833492304819
47626.903780279936,6.617136923540921,6.618334924179364
54733.7284952015,6.61761643773888,6.618334924380061
62901.02436234466,6.617916895547435,6.618334924410987
72287.0335094958,6.61809939879539,6.61833492441508
83073.61074919369,6.6182066658602565,6.6183349244155405
95469.74703287536,6.618267553307832,6.618334924415584
109715.61867027283,6.618300862348718,6.618334924415588
126087.24076806821,6.618318385998246,6.618334924415588
144901.81504862008,6.618327231343318,6.618334924415588
166523.87566325354,6.618331504747148,6.618334924415588
191372.35207582582,6.618333475722524,6.618334924415588
219928.68586060326,6.6183343411888895,6.618334924415588
252746.15867817323,6.6183347019545575,6.618334924415588
290460.6121598046,6.618334844278231,6.618334924415588
333802.7673990301,6.618334897244498,6.618334924415588
383612.3827417535,6.61833491577568,6.618334924415588
440854.524183412,6.618334921848814,6.618334924415588
506638.26361366495,6.6183349237060245,6.618334924415588
582238.1671888661,6.618334924233842,6.618334924415588
669118.9901715636,6.6183349243726495,6.618334924415588
768964.0567018717,6.618334924406276,6.618334924415588
883707.8743614602,6.618334924413743,6.618334924415588
1015573.615440418,6.618334924415255,6.618334924415588
