ramp,hold_min,delta_H_kJmol
1,0.001670,0.000000
2,0.008330,24.606509
3,0.013300,108.887701
4,0.016670,185.807776
5,0.083300,407.698028
6,0.167000,544.535150
7,0.833000,617.857160
8,1.667000,728.349660
9,8.333000,783.112673
10,16.667000,848.017077
11,0.001670,0.000000
12,0.008330,48.310024
13,0.013300,62.315439
14,0.016670,102.913693
15,0.083300,155.957333
16,0.167000,196.680990
17,0.833000,195.110747
18,1.667000,193.080683
19,8.333000,187.656274
20,16.667000,190.738840
