ramp,experiment,T_anneal_C,cooling_rate_to_glass_K_per_min,heating_rate_K_per_min,hold_s,cooling_group,T_onset_C,delta_H_J_per_g
1,One-step 70C,70,60.0000,10.0000,0.1002,50s,103.0706,0.0000
2,One-step 70C,70,60.0000,10.0000,0.4998,50s,103.0381,0.1076
3,One-step 70C,70,60.0000,10.0000,0.7980,50s,103.0347,0.4325
4,One-step 70C,70,60.0000,10.0000,1.0002,50s,102.9934,0.7254
5,One-step 70C,70,60.0000,10.0000,4.9980,50s,103.0730,1.5364
6,One-step 70C,70,60.0000,10.0000,10.0200,50s,103.0711,2.0639
7,One-step 70C,70,60.0000,10.0000,49.9800,50s,103.0958,2.1804
8,One-step 70C,70,60.0000,10.0000,100.0200,50s,103.1285,2.6145
9,One-step 70C,70,60.0000,10.0000,499.9800,50s,103.1649,2.7951
10,One-step 70C,70,60.0000,10.0000,1000.0200,50s,103.1140,2.9959
11,One-step 70C,70,60.0000,10.0000,0.1002,500s,103.1955,3.5263
12,One-step 70C,70,60.0000,10.0000,0.4998,500s,103.1891,3.8618
13,One-step 70C,70,60.0000,10.0000,0.7980,500s,103.2172,3.7308
14,One-step 70C,70,60.0000,10.0000,1.0002,500s,103.2171,3.8867
15,One-step 70C,70,60.0000,10.0000,4.9980,500s,103.2279,4.1054
16,One-step 70C,70,60.0000,10.0000,10.0200,500s,103.2280,4.2503
17,One-step 70C,70,60.0000,10.0000,49.9800,500s,103.2317,4.2641
18,One-step 70C,70,60.0000,10.0000,100.0200,500s,103.2403,4.2549
19,One-step 70C,70,60.0000,10.0000,499.9800,500s,103.2171,4.2137
20,One-step 70C,70,60.0000,10.0000,1000.0200,500s,103.2228,4.1878
