ramp,experiment,T_anneal_C,cooling_rate_to_glass_K_per_min,heating_rate_K_per_min,hold_s,cooling_group,T_onset_C,delta_H_J_per_g
1,One-step 70C,70,60.0000,10.0000,0.1002,50s,103.0706,0.0000
2,One-step 70C,70,60.0000,10.0000,0.4998,50s,103.0381,0.0625
3,One-step 70C,70,60.0000,10.0000,0.7980,50s,103.0347,0.2431
4,One-step 70C,70,60.0000,10.0000,1.0002,50s,102.9934,0.4049
5,One-step 70C,70,60.0000,10.0000,4.9980,50s,103.0730,0.8111
6,One-step 70C,70,60.0000,10.0000,10.0200,50s,103.0711,1.1031
7,One-step 70C,70,60.0000,10.0000,49.9800,50s,103.0958,1.0709
8,One-step 70C,70,60.0000,10.0000,100.0200,50s,103.1285,1.3109
9,One-step 70C,70,60.0000,10.0000,499.9800,50s,103.1649,1.3275
10,One-step 70C,70,60.0000,10.0000,1000.0200,50s,103.1140,1.3775
11,One-step 70C,70,60.0000,10.0000,0.1002,500s,103.1955,1.7396
12,One-step 70C,70,60.0000,10.0000,0.4998,500s,103.1891,1.9868
13,One-step 70C,70,60.0000,10.0000,0.7980,500s,103.2172,1.8061
14,One-step 70C,70,60.0000,10.0000,1.0002,500s,103.2171,1.8876
15,One-step 70C,70,60.0000,10.0000,4.9980,500s,103.2279,2.0301
16,One-step 70C,70,60.0000,10.0000,10.0200,500s,103.2280,2.0964
17,One-step 70C,70,60.0000,10.0000,49.9800,500s,103.2317,2.1096
18,One-step 70C,70,60.0000,10.0000,100.0200,500s,103.2403,2.0892
19,One-step 70C,70,60.0000,10.0000,499.9800,500s,103.2171,2.0001
20,One-step 70C,70,60.0000,10.0000,1000.0200,500s,103.2228,1.9414
