Time/min,Temp/Cel,DSC/uW,DDSC/(uW/min)
0,198.895523071289,10.7178421020508,-121.674041748047
0.0016666666666666668,198.894668579102,12.4584503173828,-127.763946533203
0.0033333333333333335,198.893798828125,13.7988891601563,-132.394134521484
0.005,198.892929077148,13.9146347045898,-135.263488769531
0.006666666666666667,198.892074584961,13.0796432495117,-139.043334960938
0.008333333333333333,198.891204833984,12.1682205200195,-145.22314453125
0.01,198.89030456543,11.6329574584961,-152.754638671875
0.011666666666666667,198.889419555664,11.3997650146484,-160.183135986328
0.013333333333333334,198.888549804688,11.3624801635742,-168.287750244141
0.015,198.887634277344,11.5195236206055,-178.609130859375
0.016666666666666666,198.886734008789,11.8233795166016,-190.422088623047
0.018333333333333333,198.885833740234,12.08203125,-202.004333496094
0.02,198.884918212891,12.1411743164063,-213.692413330078
0.021666666666666667,198.884017944336,12.0686950683594,-227.520446777344
0.023333333333333334,198.883071899414,12.0697860717773,-244.715789794922
0.025,198.882110595703,12.2937088012695,-264.691040039063
0.02666666666666667,198.881164550781,12.7335815429688,-286.154296875
0.028333333333333332,198.88020324707,13.2316589355469,-308.91796875
0.03,198.879196166992,13.5891799926758,-333.62109375
0.03166666666666667,198.878204345703,13.7361145019531,-360.020050048828
0.03333333333333333,198.877166748047,13.7893676757813,-387.988311767578
0.035,198.87614440918,13.9146194458008,-419.444732666016
0.03666666666666667,198.875076293945,14.156608581543,-456.000274658203
0.03833333333333333,198.873977661133,14.4702377319336,-495.428924560547
0.04,198.872848510742,14.8432159423828,-532.049621582031
0.041666666666666664,198.871734619141,15.3032531738281,-560.916320800781
0.043333333333333335,198.870544433594,15.8037872314453,-585.471557617188
0.045,198.869354248047,16.2575607299805,-618.142883300781
0.04666666666666667,198.868072509766,16.6653137207031,-668.4990234375
0.04833333333333333,198.866668701172,17.1496429443359,-733.345642089844
0.05,198.865264892578,17.82080078125,-803.058654785156
0.051666666666666666,198.863784790039,18.6669998168945,-872.608520507813
0.05333333333333334,198.862289428711,19.6135101318359,-942.326171875
0.055,198.860763549805,20.6317443847656,-1012.87554931641
0.056666666666666664,198.859161376953,21.7126388549805,-1084.70104980469
0.058333333333333334,198.857513427734,22.7937393188477,-1159.05786132813
0.06,198.855819702148,23.8508605957031,-1237.58605957031
0.06166666666666667,198.854064941406,24.9950485229492,-1320.6923828125
0.06333333333333334,198.852294921875,26.3557205200195,-1407.58190917969
0.065,198.85041809082,27.9535675048828,-1497.25610351563
0.06666666666666667,198.848480224609,29.7275161743164,-1588.76293945313
0.06833333333333333,198.846481323242,31.6232986450195,-1681.62573242188
0.07,198.84440612793,33.6415939331055,-1776.72814941406
0.07166666666666667,198.842254638672,35.8152084350586,-1876.3056640625
0.07333333333333333,198.84001159668,38.1686477661133,-1981.74255371094
0.075,198.837692260742,40.7492904663086,-2092.3271484375
